instance_name,algorithm,epsilon,realization,seed,seed_mode,n_noise,steps_per_segment,n_time_steps,n_real,n,r,L,full_dim,p_raw,p0,p0_reference,p0_midpoint,baseline_abs_error,baseline_rel_error,baseline_mode,integrator_version,h0_model_version,fk_input_term,p0_reference_source,integrator,integrator_note,norm_method,norm_iters,p_normalized,final_norm,runtime_seconds,status,error_message,cache_hit
paper_m2,HMIS-HDQAA,1e-15,24,1805870979,paired_noise,70,8,560,100,5,5,70,2272,0.00567915312559692,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.999999999999934,1.0000000000000009,847.2730617688503,success,,False
paper_m2,HMIS-HDQAA,1e-15,25,2093205094,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597035,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999541,1.0000000000000007,852.1324922060594,success,,False
paper_m2,HMIS-HDQAA,1e-15,26,3397181436,paired_noise,70,8,560,100,5,5,70,2272,0.00567915312559688,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.999999999999927,1.0000000000000009,855.0563327071723,success,,False
paper_m2,HMIS-HDQAA,1e-15,27,2669916520,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597287,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999987,1.0000000000000004,849.4330911880825,success,,False
paper_m2,HMIS-HDQAA,1e-15,28,4096021933,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596796,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999122,1.0000000000000007,855.2372414129786,success,,False
paper_m2,HMIS-HDQAA,1e-15,29,3753894681,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596805,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999137,1.0000000000000009,854.3718252950348,success,,False
paper_m2,HMIS-HDQAA,1e-15,30,1009712170,paired_noise,70,8,560,100,5,5,70,2272,0.0056791531255974345,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,1.0000000000000246,1.0000000000000007,854.7185418440495,success,,False
paper_m2,HMIS-HDQAA,1e-15,31,228078196,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596935,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999366,1.0000000000000004,858.9695135790389,success,,False
paper_m2,HMIS-HDQAA,1e-15,32,3875835983,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125596713,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999998975,1.0000000000000007,854.8924080899451,success,,False
paper_m2,HMIS-HDQAA,1e-15,33,157562092,paired_noise,70,8,560,100,5,5,70,2272,0.005679153125597129,0.005679153125597295,0.005674567029158066,0.005679153125597295,4.586096439228998e-06,0.0008081843805287531,midpoint,segment_substeps_v2,full_fk_input_v1,,full_space_validation,combined,formal,power,64,0.9999999999999708,1.0000000000000009,853.7019885489717,success,,False
