algorithm,graph_id,graph_hash,m,n,sample_id,seed,delete_probability,deleted_edge_count,num_edges,r,L,x_star_index,mis_size,x_star_left_count,x_star_right_count,gamma,Omega,p_gate,q_gate,absf2,absg2,success_probability,ideal_NH_circuit,fk_method,fk_num_steps,fk_norm_error,runtime_prepare,runtime_solver,runtime_total,cache_hit_prefix,cache_hit_clock,status,error_message
NHMIS-FKQAA,cklr_m3_s15_2118ce9772a7864e,2118ce9772a7864e,3,9,15,5417933993739570793,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.0450382083644809,0.999946596552986,expm,2232.0,5.5733195836182884e-14,0.1532096688169986,0.0014906269498169,0.2143970588222146,False,True,success,
NHMIS-HDQAA,cklr_m3_s15_2118ce9772a7864e,2118ce9772a7864e,3,9,15,5417933993739570793,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.999599064216547,0.999946596552986,expm,,,0.1532096688169986,0.000349452951923,0.2147560699377209,False,False,success,
HMIS-HDQAA,cklr_m3_s17_98e0a20f1e773a18,98e0a20f1e773a18,3,9,17,8077670299179885230,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.196549397194758,4.829489625990391e-05,0.2582388399168849,False,False,success,
NHMIS-FKQAA,cklr_m3_s17_98e0a20f1e773a18,98e0a20f1e773a18,3,9,17,8077670299179885230,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471024565431707,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.196549397194758,0.0013943300582468,0.2578259829897433,False,True,success,
NHMIS-HDQAA,cklr_m3_s17_98e0a20f1e773a18,98e0a20f1e773a18,3,9,17,8077670299179885230,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.999602876650466,0.9999504109302378,expm,,,0.196549397194758,0.0003527589142322,0.2581882830709219,False,False,success,
HMIS-HDQAA,cklr_m3_s18_b313536bb1013fd3,b313536bb1013fd3,3,9,18,6035208787707141806,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.2355570220388472,5.471589975059032e-05,0.3029760499484837,False,False,success,
NHMIS-FKQAA,cklr_m3_s18_b313536bb1013fd3,b313536bb1013fd3,3,9,18,6035208787707141806,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.147102478242378,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.2355570220388472,0.0018884129822254,0.3024490219540894,False,True,success,
NHMIS-HDQAA,cklr_m3_s18_b313536bb1013fd3,b313536bb1013fd3,3,9,18,6035208787707141806,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028768075188,0.9999504109302378,expm,,,0.2355570220388472,0.0004593569319695,0.3029187237843871,False,False,success,
HMIS-HDQAA,cklr_m3_s19_29a707e0354328ca,29a707e0354328ca,3,9,19,5191300779465169152,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.1993427108973264,4.5360997319221497e-05,0.2606889600865543,False,False,success,
NHMIS-FKQAA,cklr_m3_s19_29a707e0354328ca,29a707e0354328ca,3,9,19,5191300779465169152,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471023276236531,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.1993427108973264,0.0013655729126185,0.26028220821172,False,True,success,
